t,plates,parcels,cont_frac,mean_v,max_v,subducted,created,accreted,absorbed,cont_lost,cont_grown,rifts,merges,initiations,active_rifts,sea_level,backarcs,arc_plates,weld_static,weld_locked,retired,dissolved,deposited,sediment,stress_p50,stress_p95,stress_max
0.25,12,639662,0.2744,19.79,47.36,92,2,2,248,0,3,0,0,11,0,0.0,0,0,0,0,0,0,3,0.0001,0.00,0.00,0.00
0.5,12,638814,0.2746,20.56,53.41,839,51,0,60,0,3,0,0,9,0,0.0,0,0,0,0,0,0,3,0.0002,0.00,0.00,0.00
0.75,12,638469,0.2747,23.73,62.89,508,213,1,50,0,3,0,0,6,0,0.0,0,0,0,0,0,0,3,0.0003,0.00,0.00,0.00
1,12,638178,0.2748,26.52,73.79,559,276,0,8,0,4,0,0,1,0,0.0,0,0,0,0,0,0,4,0.0001,0.00,0.00,0.00
1.25,12,637952,0.2749,28.04,84.02,665,439,0,0,0,3,0,0,2,0,0.0,0,0,0,0,0,0,3,0.0002,0.00,0.00,0.00
1.5,12,637691,0.2750,29.50,94.79,891,632,0,2,0,3,0,0,1,0,0.0,0,0,0,0,0,0,3,0.0003,0.00,0.00,0.00
1.75,12,637626,0.2751,31.13,103.97,738,674,0,1,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0001,0.00,0.00,0.00
2,12,637501,0.2751,32.57,112.85,977,852,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002,0.00,0.00,0.00
2.25,12,637547,0.2751,34.07,120.20,798,844,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003,8.02,27.18,33.74
2.5,12,637390,0.2752,35.51,126.20,1079,922,0,0,0,5,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0000,0.00,0.00,0.00
2.75,12,637209,0.2753,36.99,131.83,1098,917,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001,0.00,0.00,0.00
3,12,637130,0.2753,38.51,136.36,1070,991,0,0,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002,0.00,0.00,0.00
3.25,12,636895,0.2754,39.74,140.06,1291,1056,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002,0.00,0.00,0.00
